,PC1,PC2
10317.000001362,-0.023333985456687807,0.05496642110393645
10317.000001363,-0.2277847778878174,-0.007905562119677243
10317.000001364,0.130028067482551,-0.09382075871843687
10317.000001367,0.19191789327284725,-0.23959881276624048
10317.000001374,-0.23119926659053427,0.053734198290178885
10317.000001375,-0.3383186141370702,-0.1483721678300038
10317.000001377,-0.3114110692805963,-0.11895492458687373
10317.000001378,-0.15632624262543157,0.11378929966001604
10317.000001379,-0.1832363923849882,0.036054591349653935
10317.000001380,0.0738179737203009,0.14760449166244285
10317.000001384,-0.3261430955552666,-0.09535574390096122
10317.000001386,-0.3167902181818618,-0.09260605629689381
10317.000001390,-0.11605139807224032,0.08014851426786868
10317.000001397,0.07318850523929075,0.016775126319742217
10317.000001398,-0.07897222813485409,0.07138965405465628
10317.000001399,0.3251590356728606,0.13816110849636362
10317.000001401,-0.2529398593366111,-0.06292827723748586
10317.000001405,-0.16163109461323047,-0.1665396666244998
10317.000001408,-0.2446291151887817,-0.03220546645201154
10317.000001411,-0.18901838699171175,-0.05722506881326257
10317.000001422,-0.3788788900408721,-0.22479802021250253
10317.000001423,-0.20063120697488346,-0.025357268848479
10317.000001427,0.4334902750274702,-0.28728483861246623
10317.000001432,-0.01588205209973808,-0.05639423961835156
10317.000001441,-0.12789413722951118,0.1122211253913764
10317.000001446,-0.10528819994110519,-0.10641212131053322
10317.000001449,0.19713291611810124,-0.2681714600512964
10317.000001450,0.01814190160755698,0.038238686311940835
10317.000001451,-0.2756341305966996,-0.17934493407910657
10317.000001459,-0.1526219636862179,-0.0011002848057008279
10317.000001477,-0.20651866148477208,0.003821515810560397
10317.000001481,-0.05093888662822622,0.04947310069097215
10317.000001482,-0.13967417337596158,0.11621884301620453
10317.000001487,-0.10756877307723148,0.13363973117167433
10317.000001488,-0.3444354052906731,-0.14316084402308296
10317.000001492,-0.04268525676143898,0.10516982966374805
10317.000001493,0.038268584429762484,0.16935705186428268
10317.000001496,-0.057382030972266525,0.0077230172646415175
10317.000001497,-0.08556603224818261,0.10946417507011567
10317.000001499,0.20268839071157077,-0.3760349556367431
10317.000001500,-0.024393146850534633,0.11116497665634738
10317.000001504,-0.349027491470258,-0.1934484412264871
10317.000001509,-0.2229560978064277,-0.043522124132553304
10317.000001512,-0.22456118701261674,0.038684496984954
10317.000001513,-0.2499734417283005,-0.04622524632457825
10317.000001516,-0.2664338458727028,-0.05575480736511301
10317.000001519,-0.32744418840569833,-0.1535270967945865
10317.000001520,0.13767640470726178,0.11401332040376488
10317.000001521,-0.24115131929037403,-0.05476687666117523
10317.000001524,-0.016238154234909378,0.18859760809976694
10317.000001527,0.09081599077454566,0.04586656985249751
